ID,ROW_NUMBER,PLANT,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,STORAGE_LOCATION,STOCK,RESTRICTED,UNIT
.1~1,1,AA,AA-F01,500g Nut Muesli,02,0,0,ST
.1~2,2,AA,AA-F02,500g Blueberry Muesli,02,0,0,ST
.1~3,3,AA,AA-F03,500g Strawberry Muesli,02,0,0,ST
.1~4,4,AA,AA-F04,500g Raisin Muesli,02,0,0,ST
.1~5,5,AA,AA-F05,500g Original Muesli,02,0,0,ST
.1~6,6,AA,AA-F06,500g Mixed Fruit Muesli,02,0,0,ST
.1~7,7,AA,AA-F11,1kg Nut Muesli,02,0,0,ST
.1~8,8,AA,AA-F12,1kg Blueberry Muesli,02,0,0,ST
.1~9,9,AA,AA-F13,1kg Strawberry Muesli,02,0,0,ST
.1~10,10,AA,AA-F14,1kg Raisin Muesli,02,0,0,ST
.1~11,11,AA,AA-F15,1kg Original Muesli,02,0,0,ST
.1~12,12,AA,AA-F16,1kg Mixed Fruit Muesli,02,0,0,ST
.1~13,13,AA,AA-P01,Large Box (1kg),88,0,0,ST
.1~14,14,AA,AA-P02,Large Bag (1kg),88,0,0,ST
.1~15,15,AA,AA-P03,Small Box (500g),88,32000,0,ST
.1~16,16,AA,AA-P04,Small Bag (500g),88,32000,0,ST
.1~17,17,AA,AA-R01,Nuts,88,0,0,KG
.1~18,18,AA,AA-R02,Blueberries,88,0,0,KG
.1~19,19,AA,AA-R03,Strawberries,88,0,0,KG
.1~20,20,AA,AA-R04,Raisins,88,4800,0,KG
.1~21,21,AA,AA-R05,Wheat,88,5600,0,KG
.1~22,22,AA,AA-R06,Oats,88,5600,0,KG
.1~23,23,BB,BB-F01,500g Nut Muesli,02,0,0,ST
.1~24,24,BB,BB-F02,500g Blueberry Muesli,02,0,0,ST
.1~25,25,BB,BB-F03,500g Strawberry Muesli,02,0,0,ST
.1~26,26,BB,BB-F04,500g Raisin Muesli,02,0,0,ST
.1~27,27,BB,BB-F05,500g Original Muesli,02,0,0,ST
.1~28,28,BB,BB-F06,500g Mixed Fruit Muesli,02,0,0,ST
.1~29,29,BB,BB-F11,1kg Nut Muesli,02,0,0,ST
.1~30,30,BB,BB-F12,1kg Blueberry Muesli,02,0,0,ST
.1~31,31,BB,BB-F13,1kg Strawberry Muesli,02,0,0,ST
.1~32,32,BB,BB-F14,1kg Raisin Muesli,02,0,0,ST
.1~33,33,BB,BB-F15,1kg Original Muesli,02,0,0,ST
.1~34,34,BB,BB-F16,1kg Mixed Fruit Muesli,02,0,0,ST
.1~35,35,BB,BB-P01,Large Box (1kg),88,0,0,ST
.1~36,36,BB,BB-P02,Large Bag (1kg),88,0,0,ST
