ID,ROW_NUMBER,PLANT,STORAGE_LOCATION,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,MATERIAL_CODE,MATERIAL_SIZE,MATERIAL_LABEL,CURRENT_INVENTORY,QUANTITY_SOLD,UNIT,NB_STEPS_AVAILABLE,SIM_ELAPSED_STEPS
.1~273,273,WW,02,WW-F13,1kg Strawberry Muesli,Finished Product,F13,1kg,Strawberry Muesli,0,110000,ST,60,240
.1~70,70,FF,02,FF-F14,1kg Raisin Muesli,Finished Product,F14,1kg,Raisin Muesli,0,142000,ST,36,180
.1~228,228,SS,02,SS-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,136000,ST,97,240
.1~277,277,XX,02,XX-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,0,622000,ST,186,240
.1~216,216,RR,02,RR-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,155,620845,ST,121,240
.1~168,168,NN,02,NN-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,4093,302907,ST,74,240
.1~161,161,NN,02,NN-F05,500g Original Muesli,Finished Product,F05,500g,Original Muesli,0,276000,ST,78,240
.1~250,250,UU,02,UU-F14,1kg Raisin Muesli,Finished Product,F14,1kg,Raisin Muesli,2746,253254,ST,49,240
.1~253,253,VV,02,VV-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,0,160000,ST,30,240
.1~138,138,LL,02,LL-F06,500g Mixed Fruit Muesli,Finished Product,F06,500g,Mixed Fruit Muesli,0,0,ST,0,180
.1~29,29,CC,02,CC-F05,500g Original Muesli,Finished Product,F05,500g,Original Muesli,0,0,ST,0,180
.1~183,183,PP,02,PP-F03,500g Strawberry Muesli,Finished Product,F03,500g,Strawberry Muesli,0,1208000,ST,176,240
.1~235,235,TT,02,TT-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,0,576000,ST,34,240
.1~39,39,DD,02,DD-F03,500g Strawberry Muesli,Finished Product,F03,500g,Strawberry Muesli,0,62000,ST,50,180
.1~9,9,AA,02,AA-F13,1kg Strawberry Muesli,Finished Product,F13,1kg,Strawberry Muesli,0,110000,ST,44,180
.1~240,240,TT,02,TT-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,171000,ST,31,240
.1~242,242,UU,02,UU-F02,500g Blueberry Muesli,Finished Product,F02,500g,Blueberry Muesli,48000,1564000,ST,135,240
.1~124,124,KK,02,KK-F04,500g Raisin Muesli,Finished Product,F04,500g,Raisin Muesli,0,78000,ST,52,180
.1~264,264,VV,02,VV-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,516,692484,ST,155,240
.1~237,237,TT,02,TT-F13,1kg Strawberry Muesli,Finished Product,F13,1kg,Strawberry Muesli,0,132000,ST,26,240
.1~202,202,QQ,02,QQ-F14,1kg Raisin Muesli,Finished Product,F14,1kg,Raisin Muesli,34865,320431,ST,134,240
.1~72,72,FF,02,FF-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,0,ST,0,180
.1~47,47,DD,02,DD-F15,1kg Original Muesli,Finished Product,F15,1kg,Original Muesli,0,0,ST,0,180
.1~265,265,WW,02,WW-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,0,810000,ST,100,240
.1~96,96,HH,02,HH-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,0,ST,0,180
.1~128,128,KK,02,KK-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,78000,ST,29,180
