ID,ROW_NUMBER,PLANT,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,QUANTITY,UNIT
.1~1,1,AA,01,01,01/01,1/1/2021 0:00,1,1,AA-F01,32000,ST
.1~2,2,AA,01,01,01/01,1/1/2021 0:00,1,1,AA-F02,32000,ST
.1~3,3,AA,01,01,01/01,1/1/2021 0:00,1,1,AA-F03,32000,ST
.1~4,4,AA,01,01,01/01,1/1/2021 0:00,1,1,AA-F04,32000,ST
.1~5,5,AA,01,01,01/01,1/1/2021 0:00,1,1,AA-F04,48000,ST
.1~6,6,AA,01,01,01/01,1/1/2021 0:00,1,1,AA-F11,32000,ST
.1~7,7,AA,01,01,01/01,1/1/2021 0:00,1,1,AA-F12,32000,ST
.1~8,8,AA,01,01,01/01,1/1/2021 0:00,1,1,AA-F13,32000,ST
.1~9,9,AA,01,01,01/01,1/1/2021 0:00,1,1,AA-F14,32000,ST
.1~10,10,AA,03,01,03/01,2/10/2021 0:00,9,41,AA-F02,22000,ST
.1~11,11,AA,03,01,03/01,2/10/2021 0:00,9,41,AA-F03,28000,ST
.1~12,12,BB,01,01,01/01,1/1/2021 0:00,1,1,BB-F01,32000,ST
.1~13,13,BB,01,01,01/01,1/1/2021 0:00,1,1,BB-F01,40000,ST
.1~14,14,BB,01,01,01/01,1/1/2021 0:00,1,1,BB-F02,32000,ST
.1~15,15,BB,01,01,01/01,1/1/2021 0:00,1,1,BB-F03,32000,ST
.1~16,16,BB,01,01,01/01,1/1/2021 0:00,1,1,BB-F04,32000,ST
.1~17,17,BB,01,01,01/01,1/1/2021 0:00,1,1,BB-F05,32000,ST
.1~18,18,BB,01,01,01/01,1/1/2021 0:00,1,1,BB-F06,32000,ST
.1~19,19,BB,01,01,01/01,1/1/2021 0:00,1,1,BB-F11,32000,ST
.1~20,20,BB,01,01,01/01,1/1/2021 0:00,1,1,BB-F12,32000,ST
.1~21,21,BB,01,01,01/01,1/1/2021 0:00,1,1,BB-F13,32000,ST
.1~22,22,BB,01,01,01/01,1/1/2021 0:00,1,1,BB-F13,40000,ST
.1~23,23,BB,01,01,01/01,1/1/2021 0:00,1,1,BB-F14,32000,ST
.1~24,24,BB,01,01,01/01,1/1/2021 0:00,1,1,BB-F15,32000,ST
.1~25,25,BB,01,01,01/01,1/1/2021 0:00,1,1,BB-F16,32000,ST
.1~26,26,CC,01,01,01/01,1/1/2021 0:00,1,1,CC-F01,32000,ST
.1~27,27,CC,01,01,01/01,1/1/2021 0:00,1,1,CC-F02,32000,ST
.1~28,28,CC,01,01,01/01,1/1/2021 0:00,1,1,CC-F03,32000,ST
.1~29,29,CC,01,01,01/01,1/1/2021 0:00,1,1,CC-F04,32000,ST
.1~30,30,CC,01,01,01/01,1/1/2021 0:00,1,1,CC-F11,32000,ST
.1~31,31,CC,01,01,01/01,1/1/2021 0:00,1,1,CC-F12,32000,ST
.1~32,32,CC,01,01,01/01,1/1/2021 0:00,1,1,CC-F13,32000,ST
.1~33,33,CC,01,01,01/01,1/1/2021 0:00,1,1,CC-F14,32000,ST
.1~34,34,CC,03,02,03/02,2/11/2021 0:00,9,42,CC-F01,60000,ST
.1~35,35,CC,03,02,03/02,2/11/2021 0:00,9,42,CC-F02,45000,ST
.1~36,36,CC,03,02,03/02,2/11/2021 0:00,9,42,CC-F03,60000,ST
.1~37,37,CC,03,02,03/02,2/11/2021 0:00,9,42,CC-F04,50000,ST
.1~38,38,CC,03,03,03/03,2/12/2021 0:00,9,43,CC-F11,60000,ST
.1~39,39,CC,03,03,03/03,2/12/2021 0:00,9,43,CC-F12,60000,ST
.1~40,40,CC,03,03,03/03,2/12/2021 0:00,9,43,CC-F13,62000,ST
.1~41,41,CC,03,03,03/03,2/12/2021 0:00,9,43,CC-F14,30000,ST
.1~42,42,CC,04,16,04/16,3/17/2021 0:00,16,76,CC-F01,30000,ST
.1~43,43,CC,04,16,04/16,3/17/2021 0:00,16,76,CC-F02,30000,ST
.1~44,44,CC,04,16,04/16,3/17/2021 0:00,16,76,CC-F03,30000,ST
.1~45,45,CC,04,16,04/16,3/17/2021 0:00,16,76,CC-F04,30000,ST
.1~46,46,CC,04,16,04/16,3/17/2021 0:00,16,76,CC-F05,30000,ST
.1~47,47,CC,04,16,04/16,3/17/2021 0:00,16,76,CC-F06,30000,ST
.1~48,48,CC,04,16,04/16,3/17/2021 0:00,16,76,CC-F11,30000,ST
.1~49,49,CC,04,16,04/16,3/17/2021 0:00,16,76,CC-F12,30000,ST
.1~50,50,CC,04,16,04/16,3/17/2021 0:00,16,76,CC-F13,30000,ST
.1~51,51,CC,04,16,04/16,3/17/2021 0:00,16,76,CC-F14,30000,ST
.1~52,52,CC,04,16,04/16,3/17/2021 0:00,16,76,CC-F15,30000,ST
.1~53,53,CC,04,16,04/16,3/17/2021 0:00,16,76,CC-F16,30000,ST
.1~54,54,DD,01,01,01/01,1/1/2021 0:00,1,1,DD-F01,32000,ST
.1~55,55,DD,01,01,01/01,1/1/2021 0:00,1,1,DD-F02,32000,ST
.1~56,56,DD,01,01,01/01,1/1/2021 0:00,1,1,DD-F03,32000,ST
.1~57,57,DD,01,01,01/01,1/1/2021 0:00,1,1,DD-F04,32000,ST
.1~58,58,DD,01,01,01/01,1/1/2021 0:00,1,1,DD-F11,32000,ST
.1~59,59,DD,01,01,01/01,1/1/2021 0:00,1,1,DD-F12,32000,ST
.1~60,60,DD,01,01,01/01,1/1/2021 0:00,1,1,DD-F13,32000,ST
.1~61,61,DD,01,01,01/01,1/1/2021 0:00,1,1,DD-F14,32000,ST
.1~62,62,DD,03,06,03/06,2/15/2021 0:00,10,46,DD-F03,12000,ST
.1~63,63,DD,03,11,03/11,2/20/2021 0:00,11,51,DD-F01,20000,ST
.1~64,64,DD,03,11,03/11,2/20/2021 0:00,11,51,DD-F02,25000,ST
.1~65,65,DD,03,11,03/11,2/20/2021 0:00,11,51,DD-F04,2000,ST
.1~66,66,DD,03,11,03/11,2/20/2021 0:00,11,51,DD-F11,28000,ST
.1~67,67,DD,03,11,03/11,2/20/2021 0:00,11,51,DD-F12,30000,ST
