ID,ROW_NUMBER,PLANT,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,ITEM,COMPONENT,MATERIAL_DESCRIPTION,QUANTITY,UNIT,USER_NAME,CHANGE_TIME
.1~1,1,OO,02,01,02/01,1/21/2021 0:00,4,20,OO-F12,00000001,OO-P02,Large Bag (1kg),1,ST,O_4,9:43:07 PM
.1~2,2,OO,02,01,02/01,1/21/2021 0:00,4,20,OO-F12,00000002,OO-P01,Large Box (1kg),1,ST,O_4,9:43:07 PM
.1~3,3,OO,02,01,02/01,1/21/2021 0:00,4,20,OO-F12,00000003,OO-R06,Oats,0.4,KG,O_4,9:43:07 PM
.1~4,4,OO,02,01,02/01,1/21/2021 0:00,4,20,OO-F12,00000004,OO-R05,Wheat,0.4,KG,O_4,9:43:07 PM
.1~5,5,OO,02,01,02/01,1/21/2021 0:00,4,20,OO-F12,00000005,OO-R02,Blueberries,0.2,KG,O_4,9:43:07 PM
.1~6,6,OO,02,01,02/01,1/21/2021 0:00,4,20,OO-F13,00000001,OO-P02,Large Bag (1kg),1,ST,O_4,9:43:28 PM
.1~7,7,OO,02,01,02/01,1/21/2021 0:00,4,20,OO-F13,00000002,OO-P01,Large Box (1kg),1,ST,O_4,9:43:28 PM
.1~8,8,OO,02,01,02/01,1/21/2021 0:00,4,20,OO-F13,00000003,OO-R06,Oats,0.4,KG,O_4,9:43:28 PM
.1~9,9,OO,02,01,02/01,1/21/2021 0:00,4,20,OO-F13,00000004,OO-R05,Wheat,0.4,KG,O_4,9:43:28 PM
.1~10,10,OO,02,01,02/01,1/21/2021 0:00,4,20,OO-F13,00000005,OO-R03,Strawberries,0.2,KG,O_4,9:43:28 PM
.1~11,11,OO,04,01,04/01,3/2/2021 0:00,12,60,OO-F16,00000001,OO-P02,Large Bag (1kg),1,ST,O_4,10:03:24 PM
.1~12,12,OO,04,01,04/01,3/2/2021 0:00,12,60,OO-F16,00000002,OO-P01,Large Box (1kg),1,ST,O_4,10:03:24 PM
.1~13,13,OO,04,01,04/01,3/2/2021 0:00,12,60,OO-F16,00000003,OO-R06,Oats,0.3,KG,O_4,10:03:24 PM
.1~14,14,OO,04,01,04/01,3/2/2021 0:00,12,60,OO-F16,00000004,OO-R05,Wheat,0.3,KG,O_4,10:03:24 PM
.1~15,15,OO,04,01,04/01,3/2/2021 0:00,12,60,OO-F16,00000005,OO-R01,Nuts,0.1,KG,O_4,10:03:24 PM
.1~16,16,OO,04,01,04/01,3/2/2021 0:00,12,60,OO-F16,00000006,OO-R02,Blueberries,0.1,KG,O_4,10:03:24 PM
.1~17,17,OO,04,01,04/01,3/2/2021 0:00,12,60,OO-F16,00000007,OO-R03,Strawberries,0.1,KG,O_4,10:03:24 PM
