ID,ROW_NUMBER,PLANT,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,EVENT_TYPE,MATERIAL_DOCUMENT,STORAGE_LOCATION,Vendor,UNIT,QUANTITY,CARBON_PER_UNIT,CARBON_FOR_PRODUCTS,CARBON_PER_DELIVERY,UNIT_CARB,TOTAL_CARBON_FOOTPRINT
.1~723,723,DD,01,01,01/01,1/1/2021 0:00,1,1,DD-F02,500g Blueberry Muesli,Goods Issue for Delivery,4900000006,02,,ST,-6002,0,0,0,0,0
.1~724,724,DD,01,01,01/01,1/1/2021 0:00,1,1,DD-F12,1kg Blueberry Muesli,Goods Issue for Delivery,4900000006,02,,ST,-4923,0,0,0,0,0
.1~725,725,DD,01,01,01/01,1/1/2021 0:00,1,1,DD-F03,500g Strawberry Muesli,Goods Issue for Delivery,4900000006,02,,ST,-6179,0,0,0,0,0
.1~726,726,DD,01,01,01/01,1/1/2021 0:00,1,1,DD-F01,500g Nut Muesli,Goods Issue for Delivery,4900000006,02,,ST,-6877,0,0,0,0,0
.1~727,727,DD,01,02,01/02,1/2/2021 0:00,1,2,DD-F11,1kg Nut Muesli,Goods Issue for Delivery,4900000011,02,,ST,-5736,0,0,0,0,0
.1~728,728,DD,01,02,01/02,1/2/2021 0:00,1,2,DD-F12,1kg Blueberry Muesli,Goods Issue for Delivery,4900000011,02,,ST,-5244,0,0,0,0,0
.1~729,729,DD,01,02,01/02,1/2/2021 0:00,1,2,DD-F13,1kg Strawberry Muesli,Goods Issue for Delivery,4900000011,02,,ST,-4127,0,0,0,0,0
.1~730,730,DD,01,02,01/02,1/2/2021 0:00,1,2,DD-F01,500g Nut Muesli,Goods Issue for Delivery,4900000011,02,,ST,-6140,0,0,0,0,0
.1~2088,2088,KK,01,02,01/02,1/2/2021 0:00,1,2,KK-F11,1kg Nut Muesli,Goods Issue for Delivery,4900000015,02,,ST,-5303,0,0,0,0,0
.1~2089,2089,KK,01,02,01/02,1/2/2021 0:00,1,2,KK-F13,1kg Strawberry Muesli,Goods Issue for Delivery,4900000015,02,,ST,-4678,0,0,0,0,0
.1~2090,2090,KK,01,02,01/02,1/2/2021 0:00,1,2,KK-F14,1kg Raisin Muesli,Goods Issue for Delivery,4900000015,02,,ST,-5115,0,0,0,0,0
.1~2091,2091,KK,01,02,01/02,1/2/2021 0:00,1,2,KK-F02,500g Blueberry Muesli,Goods Issue for Delivery,4900000015,02,,ST,-5732,0,0,0,0,0
.1~385,385,CC,01,03,01/03,1/3/2021 0:00,1,3,CC-F02,500g Blueberry Muesli,Goods Issue for Delivery,4900000022,02,,ST,-6585,0,0,0,0,0
.1~386,386,CC,01,03,01/03,1/3/2021 0:00,1,3,CC-F04,500g Raisin Muesli,Goods Issue for Delivery,4900000022,02,,ST,-7202,0,0,0,0,0
.1~387,387,CC,01,03,01/03,1/3/2021 0:00,1,3,CC-F14,1kg Raisin Muesli,Goods Issue for Delivery,4900000022,02,,ST,-5962,0,0,0,0,0
.1~388,388,CC,01,03,01/03,1/3/2021 0:00,1,3,CC-F11,1kg Nut Muesli,Goods Issue for Delivery,4900000022,02,,ST,-5927,0,0,0,0,0
.1~389,389,CC,01,04,01/04,1/4/2021 0:00,1,4,CC-F01,500g Nut Muesli,Goods Issue for Delivery,4900000029,02,,ST,-7053,0,0,0,0,0
.1~390,390,CC,01,04,01/04,1/4/2021 0:00,1,4,CC-F04,500g Raisin Muesli,Goods Issue for Delivery,4900000029,02,,ST,-7403,0,0,0,0,0
.1~391,391,CC,01,04,01/04,1/4/2021 0:00,1,4,CC-F11,1kg Nut Muesli,Goods Issue for Delivery,4900000029,02,,ST,-5322,0,0,0,0,0
.1~392,392,CC,01,04,01/04,1/4/2021 0:00,1,4,CC-F11,1kg Nut Muesli,Goods Issue for Delivery,4900000029,02,,ST,-5893,0,0,0,0,0
.1~2236,2236,LL,01,04,01/04,1/4/2021 0:00,1,4,LL-F11,1kg Nut Muesli,Goods Issue for Delivery,4900000030,02,,ST,-6074,0,0,0,0,0
.1~2237,2237,LL,01,04,01/04,1/4/2021 0:00,1,4,LL-F02,500g Blueberry Muesli,Goods Issue for Delivery,4900000030,02,,ST,-6545,0,0,0,0,0
.1~2238,2238,LL,01,04,01/04,1/4/2021 0:00,1,4,LL-F13,1kg Strawberry Muesli,Goods Issue for Delivery,4900000030,02,,ST,-4789,0,0,0,0,0
.1~2239,2239,LL,01,04,01/04,1/4/2021 0:00,1,4,LL-F12,1kg Blueberry Muesli,Goods Issue for Delivery,4900000030,02,,ST,-4516,0,0,0,0,0
.1~843,843,EE,01,04,01/04,1/4/2021 0:00,1,4,EE-F13,1kg Strawberry Muesli,Goods Issue for Delivery,4900000031,02,,ST,-5076,0,0,0,0,0
.1~844,844,EE,01,04,01/04,1/4/2021 0:00,1,4,EE-F03,500g Strawberry Muesli,Goods Issue for Delivery,4900000031,02,,ST,-5623,0,0,0,0,0
.1~845,845,EE,01,04,01/04,1/4/2021 0:00,1,4,EE-F02,500g Blueberry Muesli,Goods Issue for Delivery,4900000031,02,,ST,-6134,0,0,0,0,0
.1~846,846,EE,01,04,01/04,1/4/2021 0:00,1,4,EE-F03,500g Strawberry Muesli,Goods Issue for Delivery,4900000031,02,,ST,-6615,0,0,0,0,0
.1~739,739,DD,01,06,01/06,1/6/2021 0:00,2,6,DD-F13,1kg Strawberry Muesli,Goods Issue for Delivery,4900000047,02,,ST,-5375,0,0,0,0,0
.1~740,740,DD,01,06,01/06,1/6/2021 0:00,2,6,DD-F02,500g Blueberry Muesli,Goods Issue for Delivery,4900000047,02,,ST,-6644,0,0,0,0,0
.1~741,741,DD,01,06,01/06,1/6/2021 0:00,2,6,DD-F11,1kg Nut Muesli,Goods Issue for Delivery,4900000047,02,,ST,-10142,0,0,0,0,0
