ID,ROW_NUMBER,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,BANK_CASH_ACCOUNT,ACCOUNTS_RECEIVABLE,BANK_LOAN,ACCOUNTS_PAYABLE,PROFIT,SETUP_TIME_INVESTMENT,DEBT_LOADING,CREDIT_RATING,COMPANY_RISK_RATE_PCT,MARKET_RISK_RATE_PCT,COMPANY_VALUATION,CURRENCY
.1~1,1,AA,01,01,01/01,1/1/2021 0:00,1,1,1273644,96335.45,0,0,69731.42,0,-1369979.45,AAA+,3,7,167355408,EUR
.1~2,2,AA,01,02,01/02,1/2/2021 0:00,1,2,1273644,295138.74,0,0,195141.89,0,-1568782.74,AAA+,3,7,234170268,EUR
.1~3,3,AA,01,03,01/03,1/3/2021 0:00,1,3,1273644,492503.67,0,0,326821.07,0,-1766147.67,AAA+,3,7,261456856,EUR
.1~4,4,AA,01,04,01/04,1/4/2021 0:00,1,4,1273644,492503.67,0,0,326821.07,0,-1766147.67,AAA+,3,7,196092642,EUR
.1~5,5,AA,01,05,01/05,1/5/2021 0:00,1,5,1236144,587255.44,0,0,321344.46,0,-1823399.44,AAA+,3,7,154245340.8,EUR
.1~6,6,AA,01,06,01/06,1/6/2021 0:00,2,6,1236144,587255.44,0,0,321344.46,0,-1823399.44,AAA+,3,7,128537784,EUR
.1~7,7,AA,01,07,01/07,1/7/2021 0:00,2,7,1236144,587255.44,0,0,321344.46,0,-1823399.44,AAA+,3,7,110175243.4,EUR
.1~8,8,AA,01,08,01/08,1/8/2021 0:00,2,8,1236144,587255.44,0,0,321344.46,0,-1823399.44,AAA+,3,7,96403338,EUR
.1~9,9,AA,01,09,01/09,1/9/2021 0:00,2,9,1236144,782676.71,0,0,462231.62,0,-2018820.71,AAA+,3,7,123261765.3,EUR
.1~10,10,AA,01,10,01/10,1/10/2021 0:00,2,10,1198644,875719,0,0,446229.37,0,-2074363,AAA+,3,7,107095048.8,EUR
.1~11,11,AA,01,11,01/11,1/11/2021 0:00,3,11,1198644,875719,0,0,446229.37,0,-2074363,AAA+,3,7,97359135.27,EUR
.1~12,12,AA,01,12,01/12,1/12/2021 0:00,3,12,1198644,875719,0,0,446229.37,0,-2074363,AAA+,3,7,89245874,EUR
.1~13,13,AA,01,13,01/13,1/13/2021 0:00,3,13,1198644,969479.65,0,0,500970.29,0,-2168123.65,AAA+,3,7,92486822.77,EUR
.1~14,14,AA,01,14,01/14,1/14/2021 0:00,3,14,1198644,1047242.01,0,0,558494.58,0,-2245886.01,AAA+,3,7,95741928,EUR
.1~15,15,AA,01,15,01/15,1/15/2021 0:00,3,15,1259631.5,948754.51,0,0,486411.25,0,-2208386.01,AAA+,3,7,77825800,EUR
.1~16,16,AA,01,16,01/16,1/16/2021 0:00,4,16,1259631.5,957312.99,0,0,491267.01,0,-2216944.49,AAA+,3,7,73690051.5,EUR
.1~17,17,AA,01,17,01/17,1/17/2021 0:00,4,17,1259631.5,957312.99,0,0,491267.01,0,-2216944.49,AAA+,3,7,69355342.59,EUR
.1~18,18,AA,01,18,01/18,1/18/2021 0:00,4,18,1457563.88,759380.61,0,0,491267.01,0,-2216944.49,AAA+,3,7,65502268,EUR
.1~19,19,AA,01,19,01/19,1/19/2021 0:00,4,19,1553331.88,663612.61,0,0,491267.01,0,-2216944.49,AAA+,3,7,62054780.21,EUR
.1~20,20,AA,01,20,01/20,1/20/2021 0:00,4,20,1515831.88,663612.61,0,0,419183.68,0,-2179444.49,AAA+,3,7,50302041.6,EUR
.1~21,21,AA,02,01,02/01,1/21/2021 0:00,5,21,1515831.88,663612.61,0,0,419207.68,0,-2179444.49,AAA+,3,7,47909449.14,EUR
.1~22,22,AA,02,02,02/02,1/22/2021 0:00,5,22,1710899.44,519184.36,0,0,458348.33,0,-2230083.8,AAA+,3,7,50001636,EUR
.1~23,23,AA,02,03,02/03,1/23/2021 0:00,5,23,1710899.44,519184.36,0,0,458385.67,0,-2230083.8,AAA+,3,7,47831548.17,EUR
